front,back
"abandon","放弃；遗弃"
"ability","能力；才能"
"abnormal","不正常的"
"aboard","在船（飞机、车）上"
"abolish","废除；废止"
"absent","缺席的；不在的"
"absolute","绝对的；完全的"
"absorb","吸收；吸引"
"abstract","抽象的；摘要"
"abundant","丰富的；充裕的"
"abuse","滥用；虐待"
"academic","学术的"
"accelerate","加速"
"accept","接受；认可"
"access","进入；通道；存取"
"accident","事故；意外"
"accompany","陪伴；伴随"
"accomplish","完成；实现"
"account","账户；叙述"
"accumulate","积累；堆积"
"accurate","准确的"
"accuse","指控；指责"
"achieve","达到；实现"
"acknowledge","承认；感谢"
"acquire","获得；学到"
"adapt","适应；改编"
"adequate","足够的；充分的"
"adjust","调整；适应"
"admire","钦佩；赞美"
"admit","承认；准许进入"
"adopt","采纳；收养"
"advance","前进；进步"
"advantage","优势；好处"
"adventure","冒险"
"advertise","做广告"
"advocate","提倡；拥护者"
"affect","影响"
"afford","负担得起"
"aggressive","好斗的；积极的"
"agriculture","农业"
"allocate","分配"
"allow","允许"
"alter","改变；修改"
"alternative","替代的；选择"
"amaze","使惊奇"
"ambition","雄心；野心"
"amount","数量；总额"
"amuse","使娱乐"
"analyze","分析"
"ancestor","祖先"
"announce","宣布"
"annual","每年的"
"anxiety","焦虑"
"apologize","道歉"
"appeal","呼吁；吸引"
"appetite","食欲；欲望"
"appliance","器具；用具"
"application","申请；应用"
"appoint","任命"
"appreciate","感激；欣赏"
"approach","接近；方法"
"appropriate","适当的"
"approve","批准；赞成"
"arbitrary","任意的；武断的"
"architecture","建筑学"
"argue","争论"
"arise","出现；产生"
"arrange","安排"
"artificial","人工的"
"assess","评估"
"assign","分配；指派"
"assist","帮助；协助"
"associate","联想；联合"
"assume","假设；承担"
"atmosphere","气氛；大气层"
"attach","附上；依恋"
"attempt","尝试；企图"
"attend","出席；参加"
"attitude","态度"
"attract","吸引"
"authority","权威；当局"
"automatic","自动的"
"available","可用的"
"average","平均的"
"avoid","避免"
"awake","醒着的"
"award","奖品；授予"
"aware","意识到的"
"backward","向后的"
"balance","平衡"
"ban","禁止"
"bargain","讨价还价"
"barrier","障碍；屏障"
"basis","基础；根据"
"behalf","代表"
"behave","表现；行为"
"belief","信仰；信念"
"belong","属于"
"beneath","在……之下"
"benefit","利益；好处"
"besides","此外"
"betray","背叛；泄露"
"beyond","超过；在……之外"
"bind","绑；约束"
"blame","责备"
"blank","空白的"
"block","阻塞；街区"
"bloom","开花"
"board","板；董事会"
"boast","吹嘘"
"bold","大胆的"
"bond","纽带；债券"
"border","边界"
"bore","使厌烦"
"bother","打扰；麻烦"
"boundary","边界"
"brand","品牌"
"breakthrough","突破"
"breed","繁殖；品种"
"brief","简短的"
"brilliant","辉煌的；聪明的"
"broadcast","广播"
"budget","预算"
"burden","负担"
"calculate","计算"
"campaign","运动；战役"
"cancel","取消"
"candidate","候选人"
"capable","有能力的"
"capacity","能力；容量"
"capture","捕获"
"career","职业；事业"
"casual","随意的"
"category","种类；范畴"
"cause","原因；引起"
"caution","谨慎；警告"
"celebrate","庆祝"
"ceremony","仪式"
"certificate","证书"
"challenge","挑战"
"champion","冠军"
"channel","频道；渠道"
"chapter","章节"
"character","性格；角色"
"characteristic","特点；特有的"
"charge","收费；指控"
"charity","慈善"
"chemical","化学的"
"circumstance","情况；环境"
"citizen","公民"
"civil","公民的；民事的"
"claim","声称；要求"
"classify","分类"
"climate","气候"
"clue","线索"
"coach","教练"
"coincidence","巧合"
"collapse","倒塌；崩溃"
"colleague","同事"
"collection","收集；收藏品"
"combine","结合"
"comfort","安慰；舒适"
"command","命令"
"comment","评论"
