front,back
"ability","能力；才能"
"able","能够的；有能力的"
"about","关于；大约"
"above","在……上面"
"abroad","在国外；到国外"
"absent","缺席的；不在的"
"accept","接受；认可"
"accident","事故；意外"
"according","根据；按照"
"achieve","达到；实现"
"across","穿过；横过"
"act","行动；表演"
"action","行动；行为"
"active","积极的；活跃的"
"activity","活动"
"actually","实际上；事实上"
"add","添加；增加"
"address","地址；演讲"
"advantage","优势；好处"
"adventure","冒险；奇遇"
"advice","建议；忠告"
"advise","建议；劝告"
"afford","负担得起"
"afraid","害怕的；担心的"
"after","在……之后"
"afternoon","下午"
"again","再次；又"
"against","反对；靠着"
"age","年龄；时代"
"ago","以前"
"agree","同意；赞成"
"agreement","协议；同意"
"ahead","在前面；向前"
"air","空气；天空"
"airport","机场"
"allow","允许；准许"
"almost","几乎；差不多"
"alone","单独的；孤独的"
"along","沿着；顺着"
"already","已经"
"also","也；而且"
"although","虽然；尽管"
"always","总是；一直"
"amazing","令人惊奇的"
"among","在……之中"
"ancient","古代的；古老的"
"angry","生气的；愤怒的"
"animal","动物"
"another","另一个；又一个"
"answer","回答；答案"
"anxious","焦虑的；担忧的"
"anybody","任何人"
"anyone","任何人"
"anything","任何事物"
"anywhere","任何地方"
"appear","出现；似乎"
"apple","苹果"
"area","地区；区域"
"arm","手臂；武器"
"army","军队"
"around","围绕；大约"
"arrive","到达；抵达"
"art","艺术；美术"
"article","文章；物品"
"ask","问；请求"
"asleep","睡着的"
"attention","注意力；关注"
"August","八月"
"aunt","阿姨；姑姑"
"autumn","秋天"
"available","可用的；有空的"
"avoid","避免；避开"
"awake","醒着的"
"away","离开；远离"
"baby","婴儿；宝宝"
"back","回来；背部"
"bad","坏的；差的"
"bag","包；袋子"
"ball","球"
"banana","香蕉"
"bank","银行；河岸"
"base","基础；基地"
"basic","基本的；基础的"
"basket","篮子"
"basketball","篮球"
"bath","洗澡；浴室"
"battle","战斗；斗争"
"beach","海滩；沙滩"
"bear","熊；忍受"
"beat","打败；跳动"
"beautiful","美丽的"
"because","因为"
"become","变成；成为"
"bed","床"
"before","在……之前"
"begin","开始"
"behind","在……后面"
"believe","相信；认为"
"bell","铃；钟"
"belong","属于"
"below","在……下面"
"beside","在……旁边"
"besides","此外；除了"
"best","最好的"
"better","更好的"
"between","在……之间"
"beyond","超过；在……之外"
"big","大的"
"bike","自行车"
"bill","账单；钞票"
"bird","鸟"
"birthday","生日"
"biscuit","饼干"
"bit","一点；小块"
"bite","咬"
"black","黑色的"
"blow","吹"
"blue","蓝色的"
"board","板；董事会"
"boat","船；小船"
"body","身体"
"bone","骨头"
"book","书；预订"
"boring","无聊的"
"born","出生的"
"borrow","借入"
"both","两个都"
"bottle","瓶子"
"bottom","底部"
"bowl","碗"
"box","盒子；箱子"
"boy","男孩"
"brain","大脑"
"brave","勇敢的"
"bread","面包"
"break","打破；休息"
"breakfast","早餐"
"bridge","桥"
"bright","明亮的；聪明的"
"bring","带来"
"broad","宽的；广泛的"
"broken","破碎的"
"brother","兄弟"
"brown","棕色的"
