front,back
"abandon","放弃；遗弃"
"abide","遵守；忍受"
"abnormal","不正常的"
"abolish","废除"
"abound","大量存在"
"abroad","在国外"
"abrupt","突然的"
"absent","缺席的"
"absorb","吸收"
"abstract","抽象的"
"absurd","荒谬的"
"abundant","丰富的"
"abuse","滥用；虐待"
"accelerate","加速"
"access","进入；途径"
"accommodate","容纳；适应"
"accomplish","完成；实现"
"accord","一致；协议"
"account","账户；叙述"
"accumulate","积累"
"accurate","准确的"
"accuse","指控"
"acknowledge","承认"
"acquire","获得"
"adapt","适应"
"adequate","足够的"
"adhere","坚持；遵守"
"adjacent","邻近的"
"adjust","调整"
"administer","管理"
"admire","钦佩"
"adolescent","青少年"
"adopt","采纳；收养"
"advocate","提倡"
"affect","影响"
"affiliate","附属机构"
"afford","负担得起"
"aggravate","恶化"
"aggregate","总计；集合"
"aggressive","有进取心的"
"alleviate","减轻；缓和"
"allocate","分配"
"allowance","津贴"
"alter","改变"
"alternative","替代的"
"ambiguous","模糊的"
"ambitious","有雄心的"
"ample","充足的"
"analogy","类比"
"analyze","分析"
"ancestor","祖先"
"annual","每年的"
"anthropology","人类学"
"anticipate","预期"
"apparent","明显的"
"appeal","呼吁；吸引"
"appliance","器具"
"applicable","适用的"
"appoint","任命"
"appraise","评估"
"appreciate","感激；欣赏"
"approach","接近；方法"
"appropriate","适当的"
"approve","批准"
"arbitrary","武断的"
"arctic","北极的"
"archive","档案"
"arena","竞技场"
"arid","干旱的"
"arouse","激起；唤醒"
"arrangement","安排"
"artificial","人工的"
"ascend","上升"
"aspect","方面"
"aspiration","抱负"
"assemble","集合；组装"
"assert","断言"
"assess","评估"
"asset","资产"
"assign","分配"
"assimilate","同化；吸收"
"associate","联想；联合"
"assume","假设"
"assurance","保证"
"athlete","运动员"
"atmosphere","大气层；气氛"
"attach","附上；依恋"
"attain","获得；达到"
"attempt","尝试"
"attribute","归因于；属性"
"authentic","真实的"
"authority","权威"
"authorize","授权"
"autonomous","自治的"
"available","可用的"
"avalanche","雪崩"
"average","平均的"
"avert","避免"
"aviation","航空"
"baffle","使困惑"
"ban","禁止"
"bankruptcy","破产"
"barrier","障碍"
"battery","电池"
"beneficial","有益的"
"bizarre","奇异的"
"bleak","暗淡的"
"blockade","封锁"
"bond","纽带；债券"
"bonus","奖金"
"boom","繁荣"
"boost","促进"
"boundary","边界"
"breakthrough","突破"
"breed","繁殖；品种"
"bribe","贿赂"
"brief","简短的"
"budget","预算"
"bulk","大量；体积"
"burden","负担"
"bureaucracy","官僚主义"
"calendar","日历"
"campaign","运动；战役"
"cancel","取消"
"candidate","候选人"
"capable","有能力的"
"capacity","能力；容量"
"capitalism","资本主义"
"capture","捕获"
"cardinal","主要的"
"catalogue","目录"
"caution","谨慎"
"celebrity","名人"
"ceremony","仪式"
"certificate","证书"
"challenge","挑战"
"chaos","混乱"
"chronic","慢性的"
"circuit","电路；环线"
"circulate","循环"
"circumstance","情况"
"civilization","文明"
"claim","声称"
"clarify","澄清"
"classic","经典的"
"climate","气候"
"cluster","群；簇"
"coalition","联盟"
"coarse","粗糙的"
"coherent","连贯的"
"coincide","同时发生"
"collaborate","合作"
"collapse","崩溃"
"colleague","同事"
"collision","碰撞"
"colony","殖民地"
"combustion","燃烧"
"commission","委员会；佣金"
"commit","承诺；犯罪"
"commodity","商品"
"communal","公共的"
"companion","同伴"
"comparable","可比的"
"compatible","兼容的"
"compel","强迫"
"compensate","补偿"
"competent","胜任的"
"compile","编译；汇编"
"complement","补充"
"complex","复杂的"
"comply","遵从"
"component","组成部分"
"compose","组成"
"comprehensive","全面的"
"compromise","妥协"
"compulsory","强制的"
"conceive","构想"
"concentrate","集中"
"concept","概念"
"conclude","总结"
"concrete","具体的"
"conduct","进行；行为"
"conference","会议"
"confess","承认"
"confine","限制"
"confirm","确认"
"conflict","冲突"
"conform","遵从"
"confront","面对"
"congestion","拥堵"
"congress","国会"
"conquest","征服"
"conscience","良心"
"conscious","有意识的"
"consecutive","连续的"
"consensus","共识"
"consequence","后果"
"conserve","保存"
"considerably","相当地"
"consist","组成"
"consistent","一致的"
"consolidate","巩固"
"conspicuous","显眼的"
"constant","不断的"
"constitute","构成"
"constrain","限制"
"construct","建造"
"consult","咨询"
"consume","消耗"
"contaminate","污染"
"contemplate","沉思"
"contemporary","当代的"
"contend","竞争"
"contradict","反驳"
"contrary","相反的"
"contrast","对比"
"controversy","争论"
"convenient","方便的"
"convention","惯例"
"convert","转换"
"convey","传达"
"conviction","信念；定罪"
"cooperate","合作"
"coordinate","协调"
"cope","应对"
"core","核心"
"corporate","公司的"
"correspond","通信；符合"
"corresponding","相应的"
"corrupt","腐败的"
"counsel","建议；律师"
"counterpart","对应物"
"courage","勇气"
"coverage","覆盖范围"
"crucial","关键的"
"cultivate","培养"
"curriculum","课程"
"customs","海关"
"deadline","截止日期"
"debate","辩论"
"debris","碎片"
"decent","体面的"
"decline","下降"
"decompose","分解"
"dedicate","致力于"
"deduce","推断"
"defect","缺陷"
"deficiency","缺乏"
"define","定义"
"definite","明确的"
"defy","违抗"
"delegate","代表"
"deliberate","故意的"
"delicate","精致的"
"demand","需求"
"democracy","民主"
"demonstrate","证明；示范"
"denote","表示"
"deny","否认"
"depart","离开"
"depict","描绘"
"deplete","耗尽"
"deploy","部署"
"deposit","存款；沉积"
"depress","使沮丧"
"deprive","剥夺"
"derive","源于；获得"
"descend","下降"
"deserve","值得"
"designate","指定"
"desirable","理想的"
"desperate","绝望的"
"destination","目的地"
"destruction","破坏"
"detach","分离"
"deteriorate","恶化"
"determine","决定"
"devastate","毁坏"
"devise","设计；发明"
"devote","奉献"
"diagnose","诊断"
"differentiate","区分"
"dilemma","困境"
"dimension","维度"
"diminish","减少"
"diploma","文凭"
"disaster","灾难"
"discard","丢弃"
"discern","辨别"
"discharge","排出；释放"
"discipline","纪律；学科"
"discrete","离散的"
"discrimination","歧视"
"displace","取代"
"display","展示"
"dispose","处理"
