front,back
"abandon","放弃；遗弃"
"ability","能力；才能"
"absorb","吸收；吸引"
"achieve","达到；实现"
"adapt","适应；改编"
"adequate","充足的；适当的"
"admire","钦佩；赞美"
"adventure","冒险；奇遇"
"ancient","古代的；古老的"
"approach","接近；方法"
"appropriate","适当的；合适的"
"attract","吸引；引起"
"available","可用的；有空的"
"aware","意识到的；知道的"
"beneficial","有益的；有利的"
"capture","捕获；俘获"
"celebrate","庆祝；庆贺"
"challenge","挑战；质疑"
"characteristic","特征；特点"
"communicate","交流；沟通"
"compare","比较；对比"
"compete","竞争；比赛"
"concentrate","集中；专注"
"concern","关心；担忧"
"confident","自信的；有信心的"
"confirm","确认；证实"
"consider","考虑；认为"
"contain","包含；容纳"
"contribute","贡献；捐助"
"convenient","方便的；便利的"
"convince","说服；使确信"
"create","创造；创建"
"culture","文化；修养"
"curious","好奇的；求知的"
"declare","宣布；声明"
"decrease","减少；降低"
"demonstrate","展示；证明"
"describe","描述；描写"
"determine","决定；确定"
"develop","发展；开发"
"discover","发现；发觉"
"distinguish","区分；辨别"
"effective","有效的；起作用的"
"eliminate","消除；淘汰"
"encourage","鼓励；激励"
"enormous","巨大的；庞大的"
"environment","环境；自然环境"
"essential","必要的；本质的"
"establish","建立；设立"
"evidence","证据；证明"
"examine","检查；审查"
"exchange","交换；交流"
"explore","探索；探险"
"familiar","熟悉的；常见的"
"fascinating","迷人的；极好的"
"frequently","频繁地；经常地"
"generous","慷慨的；大方的"
"gradually","逐渐地；逐步地"
"guarantee","保证；担保"
"hesitate","犹豫；踌躇"
"identify","识别；辨认"
"illustrate","说明；图解"
"immediately","立即；马上"
"improve","改善；提高"
"include","包括；包含"
"increase","增加；增长"
"indicate","表明；指出"
"influence","影响；感化"
"inspire","激励；启发"
"investigate","调查；研究"
"maintain","维持；保持"
"manage","管理；设法"
"necessary","必要的；必需的"
"negotiate","谈判；协商"
"obvious","明显的；显而易见的"
"opportunity","机会；时机"
"participate","参与；参加"
"persuade","说服；劝说"
"phenomenon","现象；奇迹"
"pollution","污染"
"possess","拥有；占有"
"potential","潜力；潜在的"
"preserve","保存；保护"
"previous","以前的；先前的"
"progress","进步；进展"
"recognize","认出；识别"
"recommend","推荐；建议"
"relevant","相关的；有关的"
"rely","依赖；依靠"
"require","要求；需要"
"resource","资源"
"respond","回答；回应"
"significant","重要的；显著的"
"specific","具体的；特定的"
"strategy","策略；战略"
"sufficient","充足的；足够的"
"traditional","传统的"
"transform","转变；改变"
"valuable","有价值的；贵重的"
"variety","多样性；种类"
"volunteer","志愿者；自愿"
"various","各种各样的；不同的"
"abundant","丰富的；充裕的"
"accomplish","完成；实现"
"accurate","准确的；精确的"
"acquire","获得；习得"
"adjust","调整；适应"
"advantage","优势；好处"
"agriculture","农业"
"analyze","分析"
"announce","宣布；通知"
"anxiety","焦虑；担忧"
"apparent","明显的；表面上的"
"appreciate","感激；欣赏"
"arctic","北极的；严寒的"
"arrange","安排；整理"
"assignment","作业；任务"
"associate","联系；联想"
"assumption","假设；假定"
"atmosphere","大气层；气氛"
"attach","附上；贴上"
"attempt","尝试；企图"
"authority","权威；当局"
"balance","平衡；余额"
"barrier","障碍；屏障"
"behalf","代表"
"benefit","利益；好处"
"boundary","边界；界限"
"capable","有能力的"
"category","类别；种类"
"cause","原因；事业"
"climate","气候"
"collapse","倒塌；崩溃"
"colony","殖民地；群体"
"combine","结合；组合"
"community","社区；共同体"
"component","组成部分；成分"
"concept","概念；观念"
"conclusion","结论；结束"
"condition","条件；状况"
"conduct","进行；指挥"
"conference","会议"
"conflict","冲突；矛盾"
"confusion","困惑；混乱"
